facility_id,facility_name,brand,model,description,type,use,panel_count,panel_size,np_total_storage_capacity_wh,storage_type,battery_corrosion,battery_dust,inverter_manufacturer,np_inverter_output_va,charge_controller,funding,installer,functional_donation,installation_year,functional_now,failure_year,disfunction_part,disfunction_cause,repair_duty,repair_wait_time,repair_success,maintenance_by,spare_parts,remote_monitoring,functional_but_unused_reason,notes,images
3,Msese,Easypower,WD20181806EP,SIAB Power System,"Solar, Battery, Inverter",SIAB pharmacy,24,large,19200,sealed-lead-acid-gel,no,yes,Easypower,10000,yes,"USAID, UKAID",Donor,yes,2018,No,2022,Inverter,Water damage,DHO/MoH/Gov,never,No,no,no,yes,NA,SIAB still used for storage but suboptimal conditions,"20250807_141127.jpg, 20250807_141601.jpg, 20250807_141608.jpg, 20250807_141730.jpg, 20250807_141854.jpg, 20250807_105731.jpg"
3,Msese,NA,NA,Solar water pump,Solar,Water Pumps,6,large,NA,NA,NA,NA,NA,NA,NA,"UNICEF, EU",Donor,yes,2018,No,2022,"pump, filter",NA,DHO/MoH/Gov,never,No,no,no,no,NA,NA,"20250807_141911.jpg, 20250807_141922.jpg, 20250807_141930.jpg"
4,Hoho,Escom,NA,Grid,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MoH,Escom,yes,-99,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
4,Hoho,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,4,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Sonlite Solar Contractor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,yes,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,20250807_171117.jpg
4,Hoho,Exeltech,NA,NA,"Solar, Battery, Inverter","lights, AC device charging",1,small,NA,NA,NA,NA,Exeltech XP 250,250,NA,Govt of Japan,Donor,yes,2010,No,NA,battery,age,DHO/MoH/Gov,never,No,no,no,no,NA,NA,20250807_171113.jpg
4,Hoho,Easypower,WD20181806EP,SIAB Power System,"Solar, Battery, Inverter",SIAB pharmacy,30,large,28800,sealed-lead-acid-gel,no,yes,Easypower,10000,NA,"USAID, UKAID",Donor,yes,2018,No,2020,NA,NA,DHO/MoH/Gov,never,No,no,no,yes,NA,SIAB still used for storage but suboptimal conditions,NA
5,Endindeni,Escom,NA,Grid,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Donor,Escom,yes,-99,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
5,Endindeni,NA,NA,Solar water pump,Solar,Water Pumps,4,medium,NA,NA,NA,NA,NA,NA,NA,World Vision,Donor,yes,2018,No,2023,pump,NA,DHO/MoH/Gov,never,No,no,no,no,NA,NA,"20250808_100123.jpg, 20250808_100459.jpg"
5,Endindeni,NA,NA,Staff Housing,"Solar, Battery","lights, TV, DC charging",1,medium,384,sealed-lead-acid-gel,no,yes,NA,NA,yes,Staff,Staff,yes,2024,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,Staff is capable of configuring and building their own solar system,"20250808_095715.jpg, 20250808_095837.jpg, 20250808_095847.jpg"
5,Endindeni,NA,NA,NA,Solar,lighting,NA,NA,NA,NA,NA,NA,NA,NA,NA,EGPAF,Donor,yes,2020,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
5,Endindeni,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,4,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Sonlite Solar Contractor,yes,2024,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,20250808_100527.jpg
5,Endindeni,B Medical,TCW2043SDD,Solar Vaccine Fridge,Solar,vaccine fridge,8,medium,NA,NA,NA,NA,NA,NA,NA,UNICEF,Donor,yes,2018,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,"20250808_101125.jpg, 20250808_101245.jpg"
5,Endindeni,StarTimes,PSW,Solar Multimedia System,"Solar, Battery, Inverter",Multimedia,1,medium,312,sealed-lead-acid-gel,no,no,StarTimes,NA,yes,World Vision,Donor,yes,2009,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,"20250808_101453.jpg, 20250808_101524.jpg"
5,Endindeni,Narada,6-GFM-170F,NA,"Solar, Battery, Inverter",AC device charging,NA,NA,8200,sealed-lead-acid-gel,yes,yes,NA,NA,NA,World Vision,Donor,yes,2009,No,2017,battery,age,DHO/MoH/Gov,never,No,no,no,no,NA,NA,"20250808_101652.jpg, 20250808_101710.jpg"
5,Endindeni,Easypower,WD20181806EP,SIAB Power System,"Solar, Battery, Inverter",SIAB pharmacy,30,large,28800,sealed-lead-acid-gel,no,yes,Easypower,10000,NA,"USAID, UKAID",Donor,yes,2018,No,2023,NA,NA,DHO/MoH/Gov,never,No,no,no,yes,NA,SIAB still used for storage but suboptimal conditions,20250808_102450.jpg
6,Mtende,Growth Sense,NA,NA,"Solar, Battery, Inverter",AC device charging,1,medium,NA,NA,NA,NA,Growth Sense,NA,NA,Green Tech Lilongwe,Donor,yes,2023,No,2024,NA,NA,DHO/MoH/Gov,never,No,no,no,no,NA,NA,20250808_150253.jpg
6,Mtende,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,4,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Sonlite Solar Contractor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,20250808_145213.jpg
6,Mtende,Exeltech,NA,NA,"Solar, Battery, Inverter","lights, AC device charging",1,small,NA,NA,NA,NA,Exeltech XP 250,250,NA,Govt of Japan,Donor,yes,2010,No,2021,battery,age,DHO/MoH/Gov,never,No,no,no,no,NA,NA,20250808_150705.jpg
6,Mtende,Easypower,WD20181806EP,SIAB Power System,"Solar, Battery, Inverter",SIAB pharmacy,30,large,28800,sealed-lead-acid-gel,no,yes,Easypower,10000,NA,"USAID, UKAID",Donor,yes,2018,No,2023,NA,NA,DHO/MoH/Gov,never,No,no,no,yes,NA,SIAB still used for storage but suboptimal conditions,20250808_145636.jpg
6,Mtende,B Medical,TCW2043SDD,Solar Vaccine Fridge,Solar,vaccine fridge,8,medium,NA,NA,NA,NA,NA,NA,NA,UNICEF,Donor,yes,2018,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,"20250808_150454.jpg, 20250808_150458.jpg, 20250808_150500.jpg, 20250808_145904.jpg"
6,Mtende,NA,NA,Solar water pump,Solar,Water Pumps,NA,NA,NA,NA,NA,NA,NA,NA,NA,Partners in Hope NGO,Donor,yes,2013,No,2015,pump,NA,DHO/MoH/Gov,never,No,no,no,no,NA,DHO tried to repair but failed,20250808_150704.jpg
7,Kachere,Escom,NA,Grid,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MoH,Escom,yes,long time ago,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,NA,NA,NA,NA
7,Kachere,Sun King,Home 600,NA,"Solar, Battery","lights, usb",1,medium,140,lithium-ion,no,no,NA,NA,NA,Paul Norrish,Donor,NA,NA,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,for exposure of business,20250812_092631.jpg
7,Kachere,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,4,medium,NA,NA,NA,NA,NA,NA,yes,We care solar,MoH,yes,2025,Yes,NA,missing headlamps,lost,DHO/MoH/Gov,NA,NA,no,no,no,NA,headlamps missing,"20250812_093501.jpg, 20250812_093955.jpg, 20250812_100108.jpg"
7,Kachere,Sun King,Home 600,NA,"Solar, Battery","lights, usb",1,medium,140,lithium-ion,no,no,NA,NA,NA,Paul Norrish,Donor,NA,NA,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,for exposure of business,20250812_094059.jpg
7,Kachere,Vestfrost,NA,Solar Vaccine Fridge,Solar,vaccine fridge,1,large,NA,NA,NA,NA,NA,NA,NA,Govt of Japan,Contractor,yes,2023,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,planned,NA,putting in a sim required and planned for in a year or two,"20250812_094537.jpg, 20250812_094553.jpg, 20250812_094648.jpg"
8,Liuzi,Escom,NA,Grid,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MoH,Escom,yes,long time ago,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
8,Liuzi,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,4,medium,153,LFP,no,no,NA,NA,yes,We care solar,MoH,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,yes,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,"20250812_122121.jpg, 20250812_122130.jpg, 20250812_124039.jpg"
8,Liuzi,TBEA Sunoasis,XNY-TZJ-200G,NA,"Solar, Battery, Inverter","AC device charging, lighting",1,medium,NA,NA,NA,NA,TBEA,200,yes,China Aid,MoH,yes,2014,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,"is repairable for DHO, delivered in 2014 but some facilities recieved it only in 2020 in other districts","20250812_122349.jpg, 20250812_123931.jpg"
8,Liuzi,NA,NA,Solar water pump,Solar,Water Pumps,3,medium,NA,NA,NA,NA,NA,NA,NA,MP Member of Parliament,Donor,yes,2024,No,2025,pump,Lightning,DHO/MoH/Gov,never,No,no,no,no,NA,NA,20250812_123930.jpg
8,Liuzi,B Medical,TCW80SDD,Solar Vaccine Fridge,Solar,vaccine fridge,4,medium,NA,NA,NA,NA,NA,NA,NA,UNICEF,Donor,yes,2023,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,yes,NA,NA,20250812_124403.jpg
9,Tchesamu,B Medical,TCW80SDD,Solar Vaccine Fridge,Solar,vaccine fridge,8,medium,NA,NA,NA,NA,NA,NA,NA,UNICEF,Donor,yes,2018,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,yes,NA,sends data to DHO,"20250813_101813.jpg, 20250813_101905.jpg, 20250813_102131.jpg"
9,Tchesamu,Sun King,Home 600,NA,"Solar, Battery","lights, usb",1,medium,140,lithium-ion,no,no,NA,NA,NA,Paul Norrish,Donor,NA,NA,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,for exposure of business Paul norrish,20250813_102350.jpg
9,Tchesamu,Sun King,Home 600,NA,"Solar, Battery","lights, usb",1,medium,140,lithium-ion,no,no,NA,NA,NA,Paul Norrish,Donor,NA,NA,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,for exposure of business Paul norrish,20250813_105110.jpg
9,Tchesamu,NA,NA,Solar water pump,Solar,Water Pumps,7,medium,NA,NA,NA,NA,NA,NA,NA,MoH,MoH,No,2000,No,2015,pump,age,DHO/MoH/Gov,never,No,no,no,no,NA,NA,20250813_102644.jpg
9,Tchesamu,TBEA Sunoasis,XNY-TZJ-200G,NA,"Solar, Battery, Inverter","device charging, lighting",1,medium,NA,NA,NA,NA,TBEA,200,yes,China Aid,MoH,yes,2018,No,2021,"battery, dc-dc converter",age,DHO/MoH/Gov,never,No,no,no,no,NA,NA,"20250813_105216.jpg, 20250813_105227.jpg, 20250813_105302.jpg, 20250813_102643.jpg"
9,Tchesamu,Microtek,NA,NA,"Solar, Battery, Inverter","AC device charging, lights",NA,NA,1680,sealed-lead-acid-gel,no,no,Microtek solar pcu,935,no,Luke International,"Donor, hired dho personnel",yes,2023,Yes,NA,circuit braker,loose connection,DHO/MoH/Gov,NA,Yes,no,at donor,no,NA,NA,"20250813_105122.jpg, 20250813_105129.jpg, 20250813_105134.jpg, 20250813_105150.jpg"
10,Bula,Escom,NA,Grid,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MoH,Escom,yes,2018,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,Escom,no,no,NA,gets shut down every Sunday for maintenance,NA
10,Bula,Yingli Solar,NA,Solar Vaccine Fridge,"Solar, Battery",Cold packs,3,medium,840,sealed-lead-acid-gel,no,no,NA,NA,yes,MoH,MoH,yes,2018,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,NA,no,NA,NA,NA,"20250814_093813.jpg, 20250814_094445.jpg, 20250814_094500.jpg, 20250814_094511.jpg, 20250814_094525.jpg"
10,Bula,B Medical,TCW80SDD,Solar Vaccine Fridge,Solar,vaccine fridge,4,medium,NA,NA,NA,NA,NA,NA,NA,UNICEF,Donor,yes,2023,Yes,NA,NA,NA,Donor,NA,NA,no,no,planned,NA,putting in a sim required and planned for in a year or two,"20250814_093811.jpg, 20250814_094401.jpg"
10,Bula,Vestfrost,NA,Solar Vaccine Fridge,Solar,vaccine fridge,3,medium,NA,NA,NA,NA,NA,NA,NA,MoH,MoH,yes,2016,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,"20250814_093813.jpg, 20250814_094412.jpg, 20250814_094430.jpg"
10,Bula,Sun King,Home 600,NA,"Solar, Battery","lights, usb",1,medium,140,lithium-ion,no,no,NA,NA,NA,Paul Norrish,Donor,yes,2023,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,for exposure of business Paul norrish,"20250814_093739.jpg, 20250814_100826.jpg"
10,Bula,Sun King,Home 600,NA,"Solar, Battery","lights, usb",NA,NA,140,lithium-ion,no,no,NA,NA,NA,Paul Norrish,Donor,yes,2023,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,for exposure of business Paul norrish,20250814_101438.jpg
10,Bula,NA,NA,Solar Lantern,"Solar, Battery",lighting,1,small,NA,NA,NA,NA,NA,NA,NA,Polititian MP Nkhata Bay,Contractor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,District MP donated them in election year,20250814_104513.jpg
10,Bula,NA,NA,Solar Lantern,"Solar, Battery",lighting,1,small,NA,NA,NA,NA,NA,NA,NA,Polititian MP Nkhata Bay,Contractor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,District MP donated them in election year,20250814_104513.jpg
10,Bula,NA,NA,Solar Lantern,"Solar, Battery",lighting,1,small,NA,NA,NA,NA,NA,NA,NA,Polititian MP Nkhata Bay,Contractor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,District MP donated them in election year,20250814_104513.jpg
10,Bula,NA,NA,Solar Lantern,"Solar, Battery",lighting,1,small,NA,NA,NA,NA,NA,NA,NA,Polititian MP Nkhata Bay,Contractor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,District MP donated them in election year,20250814_104513.jpg
11,Nthungwa,BBB,Energier Apollo,NA,"Solar, Battery, Inverter","lights, device charging",2,large,2400,sealed-lead-acid-gel,no,no,bbb Pursuit of perfection,2000,yes,private Jaap vd Zwan,H&F Electrica Contractors,yes,2022,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,"20250814_153218.jpg, 20250814_153256.jpg, 20250814_153258.jpg, 20250814_153355.jpg, 20250814_153357.jpg, 20250814_153402.jpg, 20250814_153414.jpg, 20250814_153442.jpg, 20250814_153449.jpg, 20250814_153458.jpg, 20250814_162408.jpg"
11,Nthungwa,Sun King,Home 600,NA,"Solar, Battery","lights, usb",1,large,140,lithium-ion,no,no,NA,NA,NA,Paul Norrish,Donor,yes,2023,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,for exposure of business Paul norrish,"20250814_155058.jpg, 20250814_155202.jpg"
11,Nthungwa,B Medical,TCW80SDD,Solar Vaccine Fridge,Solar,vaccine fridge,8,medium,NA,NA,NA,NA,NA,NA,NA,UNICEF,Donor,yes,2016,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,Unicef never comes for repair themselves,"20250814_155331.jpg, 20250814_155551.jpg, 20250814_155611.jpg, 20250814_155901.jpg"
11,Nthungwa,Easypower,WD20181806EP,SIAB Power System,"Solar, Battery, Inverter",SIAB pharmacy,24,large,19200,sealed-lead-acid-gel,no,yes,Easypower,10000,yes,"USAID, UKAID",Donor,yes,2018,No,2021,Inverter or battery old age/poor quality,NA,DHO/MoH/Gov,never,No,no,no,yes,NA,"SIAB still used for storage but suboptimal conditions, remote monitoring to donor. German funds are incoming to repair the system. Planned to be running again within 9 months","20250814_155938.jpg, 20250814_155945.jpg, 20250814_160014.jpg, 20250814_160943.jpg, 20250814_161551.jpg, 20250814_161629.jpg, 20250814_162226.jpg"
11,Nthungwa,NA,NA,Solar water pump,Solar,Water Pumps,4,large,NA,NA,NA,NA,NA,NA,NA,"UNICEF, EU",Donor,yes,2018,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,staff clean panels,no,no,NA,NA,"20250814_161602.jpg, 20250814_161748.jpg, 20250814_161802.jpg, 20250814_161808.jpg, 20250814_161903.jpg"
11,Nthungwa,TBEA Sunoasis,XNY-TZJ-200G,NA,"Solar, Battery","device charging, lighting",1,medium,NA,NA,NA,NA,TBEA,200,yes,China Aid,MoH,yes,2014,No,2025,"battery, dc-dc converter",age,DHO/MoH/Gov,never,No,no,no,no,NA,NA,"20250814_161802.jpg, 20250814_162430.jpg, 20250814_162434.jpg"
11,Nthungwa,B Medical,TCW2043SDD,Solar Vaccine Fridge,Solar,vaccine fridge,4,medium,NA,NA,NA,NA,NA,NA,NA,Africa CDC,Donor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,"20250814_162838.jpg, 20250814_162845.jpg, 20250814_162858.jpg, 20250814_163616.jpg"
12,Mangunda,Escom,NA,Grid,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MoH,Escom,yes,long time ago,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
12,Mangunda,Growatt,NA,NA,"Solar, Battery, Inverter",AC device charging,9,large,9600,sealed-lead-acid-gel,no,yes,Growatt,5000,yes,EGPAF,"Donor, DHO",yes,2021,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,no,yes,NA,"egpaf changed batteries, even though they were working. Reason unknown","20251002_093024.jpg, 20251002_093443.jpg, 20251002_093449.jpg, 20251002_093500.jpg, 20251002_093507.jpg, 20251002_093528.jpg, 20251002_093531.jpg, 20251002_093539.jpg, 20251002_093552.jpg, 20251002_093602.jpg, 20251002_093620.jpg, 20251002_093645.jpg, 20251002_093654.jpg, 20251002_093743.jpg"
12,Mangunda,Mecer,NA,NA,"Solar, Battery, Inverter",AC device charging,12,large,9600,sealed-lead-acid-gel,no,yes,Mecer,5000,yes,Global Fund,Donor,yes,2017,No,2022,Safety Switches,NA,DHO/MoH/Gov,never,No,DHO,no,yes,NA,NA,"20251002_095041.jpg, 20251002_095045.jpg, 20251002_095054.jpg, 20251002_095322.jpg, 20251002_100521.jpg, 20251002_100528.jpg, 20251002_100630.jpg"
12,Mangunda,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,1,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Contractor,yes,2025,Yes,NA,NA,NA,Donor,NA,NA,DHO,yes,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,"20251002_100727.jpg, 20251002_100818.jpg, 20251002_100822.jpg, 20251002_101149.jpg"
12,Mangunda,B Medical,TCW3043SDD,Solar Vaccine Fridge,Solar,vaccine fridge,2,large,NA,NA,NA,NA,NA,NA,NA,UNICEF,Contractor,yes,2023,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,no,yes,NA,NA,"20251002_101301.jpg, 20251002_101307.jpg, 20251002_101317.jpg, 20251002_101348.jpg"
14,Thowela,Full Sircle Solar,NA,NA,"Solar, Battery, Inverter","AC device charging, lights, vaccine fridge, everything",10,large,10240,lithium-ion,no,no,Full Sircle Solar,5000,yes,Africa Sotto Sopra,Contractor,yes,2019,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,DHO,no,no,NA,NA,"20251002_121406.jpg, 20251002_121411.jpg, 20251002_121420.jpg, 20251002_121426.jpg, 20251002_121434.jpg, 20251002_121439.jpg, 20251002_121444.jpg, 20251002_121449.jpg, 20251002_121455.jpg, 20251002_121501.jpg, 20251002_121509.jpg, 20251002_121521.jpg, 20251002_121536.jpg, 20251002_121548.jpg, 20251002_121609.jpg, 20251002_121649.jpg"
15,Khonjeni,Escom,NA,Grid,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MoH,Escom,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
15,Khonjeni,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,1,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Contractor,yes,2025,Yes,NA,NA,NA,Donor,NA,NA,DHO,yes,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,"20251002_153936.jpg, 20251002_154230.jpg"
15,Khonjeni,Mecer,NA,NA,"Solar, Battery, Inverter",AC device charging,12,large,9600,sealed-lead-acid-gel,yes,yes,Mecer,5000,yes,Global Fund,Donor,yes,2017,No,2024,Battery,age,DHO/MoH/Gov,never,No,DHO,no,yes,NA,NA,"20251002_154406.jpg, 20251002_154410.jpg, 20251002_154425.jpg, 20251002_154428.jpg, 20251002_154433.jpg, 20251002_154446.jp"
